,size,intensity
727,3551,2
728,1396,63
729,1845,7
730,2226,87
731,2495,11
732,2384,4
733,1961,2
734,1059,2
735,3957,30
736,3079,66
737,386,1
738,1331,1
739,2117,19
740,306,23
741,611,1
742,3349,40
743,4683,42
744,264,16
745,3459,35
746,3056,7
747,2646,32
748,3811,1
749,1925,4
750,2200,1
751,2473,19
752,2174,3
753,2406,11
754,2035,18
755,1897,1
756,1805,6
757,3130,12
758,2200,16
759,1888,4
760,3740,255
761,2223,255
762,2575,126
763,2090,1
764,3274,5
765,1954,16
766,3125,7
767,3727,70
768,2190,1
769,3745,2
770,5112,71
771,4884,125
772,2526,55
773,1998,76
774,1635,42
775,1529,27
776,2556,98
777,3912,60
778,1056,9
779,4145,30
780,274,67
781,900,24
782,364,16
783,524,3
784,226,86
785,3812,3
786,3605,108
787,3107,106
788,1709,2
789,1955,1
790,5003,2
791,2261,84
792,3678,79
793,3048,3
794,1586,9
795,3418,2
796,4420,1
797,3563,106
798,2061,27
799,1242,77
800,1750,7
801,3874,33
802,4043,98
803,1397,10
804,4500,72
805,4382,1
806,1749,89
807,2307,0
808,4716,65
809,3503,98
810,4941,89
811,1630,1
812,765,73
813,2111,1
814,1999,54
815,922,37
816,825,15
817,264,0
818,575,0
819,4421,57
820,3868,2
821,2523,144
822,4301,106
823,4379,5
824,3854,100
825,2256,94
826,2334,14
827,5310,3
828,2177,19
829,2135,7
830,1681,1
831,1915,3
832,1715,3
833,1948,113
834,2871,67
835,2578,1
836,2933,19
837,1880,6
838,6649,127
839,2985,78
840,4425,120
841,1811,1
842,2463,79
843,1604,114
844,2574,1
845,4080,56
846,1715,83
847,5394,57
848,1667,66
849,969,1
850,1687,11
851,5423,124
852,2197,78
853,2156,42
854,4056,51
855,2921,23
856,2379,1
857,1957,2
858,2261,95
859,2551,25
860,3539,7
861,3313,2
862,3286,50
863,3728,47
864,2799,115
865,2722,10
866,3533,8
867,3311,26
868,2708,1
869,2119,9
870,2050,14
871,2508,3
872,3575,20
873,2385,13
874,2755,1
875,1566,210
876,2126,69
877,3825,48
878,1700,1
879,1849,6
880,1611,1
881,1783,2
882,3999,18
883,2102,21
884,3021,103
885,1745,5
886,1735,1
887,2039,48
888,1652,1
889,2148,22
890,2170,15
891,3026,27
892,1628,45
893,2372,20
894,1614,3
895,2248,73
896,3465,144
897,2369,43
898,2579,11
899,1607,11
900,2247,11
901,2405,15
902,1389,7
903,1771,67
904,1628,11
905,4306,2
906,2045,4
907,2591,71
908,1360,10
909,3861,51
910,1144,6
911,2011,55
912,892,9
913,1273,40
914,1550,10
915,1354,76
916,1326,4
917,1304,1
918,1652,7
919,1289,146
920,1042,14
921,919,1
922,1102,79
923,1157,24
924,2167,208
925,1163,1
926,2535,9
927,990,12
928,1447,104
929,1545,12
930,987,1
931,1602,14
932,1053,82
933,3420,50
934,2053,74
935,1068,1
936,3882,51
937,926,3
938,1169,50
939,399,1
940,2438,7
941,3468,154
942,3057,36
943,3441,62
944,1139,28
945,845,1
946,1648,14
947,5560,63
948,393,1
949,614,1
950,1364,1
951,427,1
952,5,15
953,2088,15
954,315,1
955,205,13
956,322,12
957,3190,1
958,2715,38
959,4144,42
960,4728,10
961,3195,1
962,2926,63
963,3559,4
964,4079,62
965,1961,9
966,3933,9
967,2658,13
968,1971,57
969,2222,71
970,2895,16
971,3773,127
972,2344,20
973,4821,52
974,2654,51
975,2401,1
976,3987,111
977,3387,56
978,2525,13
979,2495,7
980,4228,44
981,1539,59
982,1656,188
983,5061,31
984,4005,47
985,1193,64
986,2826,5
987,2147,5
988,1753,44
989,3201,19
990,2187,16
991,2231,14
992,1540,3
993,1626,12
994,1351,2
995,2414,32
996,1838,36
997,2688,5
998,2433,14
999,1687,80
1000,2514,2
1001,1734,7
1002,2624,5
1003,2483,13
1004,2060,6
1005,1454,5
1006,2917,28
1007,2588,7
1008,1748,50
1009,2228,142
1010,1264,4
1011,1076,8
1012,1121,5
1013,1529,22
1014,1632,5
1015,960,1
1016,1317,9
1017,3572,39
1018,736,35
1019,1671,43
1020,1653,1
1021,1458,1
1022,1326,53
1023,1281,40
1024,2417,97
1025,3460,82
1026,2282,64
1027,760,90
1028,548,8
1029,221,28
1030,731,2
1031,2429,95
1032,1049,8
1033,3369,26
1034,718,1
1035,929,21
1036,1587,43
1037,208,47
1038,3054,75
1039,4077,12
1040,2657,1
1041,3269,2
1042,3274,1
1043,2531,2
1044,2563,7
1045,3705,2
1046,2867,67
1047,2582,2
1048,2835,2
1049,2924,47
1050,2054,37
1051,2992,3
1052,2810,114
1053,2813,24
1054,1691,132
1055,2090,8
1056,1531,3
1057,4440,8
1058,2054,1
1059,2497,16
1060,2545,7
1061,1970,24
1062,2358,6
1063,2351,24
1064,3113,1
1065,1416,2
1066,1844,1
1067,1289,38
1068,1263,68
1069,842,13
1070,2899,2
1071,1441,1
1072,2380,69
1073,2152,19
1074,540,45
1075,552,3
1076,2560,23
1077,2722,36
1078,1017,15
1079,2787,5
1080,784,1
1081,2214,57
1082,3423,3
1083,2611,64
1084,291,82
1085,312,55
1086,650,4
1087,509,37
1088,2951,24
1089,639,45
1090,252,1
1091,612,1
1092,697,3
1093,835,38
1094,367,4
1095,170,18
1096,3939,2
1097,3792,4
1098,1779,255
1099,3057,3
1100,2282,1
1101,4375,128
1102,2637,31
1103,2909,4
1104,5003,151
1105,2827,70
1106,3156,66
1107,3604,1
1108,2224,14
1109,1743,117
1110,2088,2
1111,2476,30
1112,2171,2
1113,3261,101
1114,2698,3
1115,2396,31
1116,2856,3
1117,2420,1
1118,1948,8
1119,1820,14
1120,2270,1
1121,1504,21
1122,1792,32
1123,1756,1
1124,2140,3
1125,1560,150
1126,1509,15
1127,1471,20
1128,1363,1
1129,1674,2
1130,2444,45
1131,5219,15
1132,1199,8
1133,1707,33
1134,1466,1
1135,1368,15
1136,514,1
1137,864,1
1138,1368,39
1139,1435,1
1140,350,3
1141,488,2
1142,3095,93
1143,784,49
1144,3221,49
1145,1211,11
1146,2850,69
1147,1285,20
1148,3897,39
1149,563,3
1150,3571,50
1151,266,1
1152,3368,1
1153,3186,2
1154,2954,2
1155,2343,2
1156,3490,1
1157,2869,6
1158,3169,1
1159,2749,1
1160,2504,10
1161,3720,1
1162,1828,2
1163,2352,2
1164,4313,2
1165,3195,105
1166,2181,1
1167,1642,1
1168,3226,1
1169,2345,5
1170,2138,75
1171,3217,2
1172,2116,50
1173,2801,2
1174,3579,1
1175,5483,50
1176,2325,1
1177,2981,130
1178,1599,7
1179,2467,2
1180,3739,5
1181,1128,5
1182,860,1
1183,575,1
1184,660,1
1185,1207,53
1186,2265,2
1187,555,1
1188,653,6
1189,769,2
1190,1113,24
1191,2989,1
1192,317,1
1193,279,18
1194,3849,1
1195,3953,18
1196,35,16
1197,12,17
1198,2566,8
1199,5133,5
1200,2885,5
1201,1993,120
1202,2508,15
1203,3719,4
1204,1727,2
1205,3833,5
1206,1996,4
1207,4591,124
1208,3990,28
1209,3218,27
1210,2103,15
1211,2964,0
1212,5376,39
1213,1718,5
1214,1791,1
1215,2053,140
1216,1769,7
1217,2174,30
1218,1843,3
1219,3064,25
1220,2176,255
1221,4688,44
1222,1821,22
1223,1761,1
1224,1604,2
1225,1578,35
1226,4352,47
1227,1374,15
1228,1151,105
1229,2062,1
1230,1532,10
1231,3716,12
1232,939,0
1233,410,1
1234,840,7
1235,870,1
1236,264,0
1237,320,1
1238,1132,56
1239,420,9
1240,4746,17
1241,2411,23
1242,4063,4
1243,3905,6
1244,1627,6
1245,1447,7
1246,1487,12
1247,2061,2
1248,1479,3
1249,1424,50
1250,1809,72
1251,2424,2
1252,3068,23
1253,1722,1
1254,1542,4
1255,2898,3
1256,3805,82
1257,4065,5
1258,2440,28
1259,1616,32
1260,1150,16
1261,2593,63
1262,2940,2
1263,5109,8
1264,1611,129
1265,1127,1
1266,1319,2
1267,1081,49
1268,458,49
1269,1664,56
1270,3117,5
1271,2400,103
1272,1062,1
1273,474,42
1274,941,20
1275,1152,84
1276,356,66
1277,3363,12
1278,1040,10
1279,300,46
1280,175,1
1281,885,81
1282,1122,1
1283,2751,14
1284,2368,2
1285,3708,10
1286,3377,6
1287,3304,74
1288,4521,8
1289,2952,1
1290,4291,47
1291,1660,1
1292,1930,19
1293,2881,2
1294,1919,9
1295,1435,0
1296,2527,1
1297,4294,5
1298,4086,19
1299,2799,7
1300,1276,13
1301,4903,12
1302,1698,5
1303,3927,56
1304,1279,1
1305,3001,5
1306,2353,11
1307,3895,53
1308,1407,15
1309,5551,2
1310,2555,2
1311,1372,21
1312,1176,56
1313,880,3
1314,3211,4
1315,4670,3
1316,1808,18
1317,3534,7
1318,888,29
1319,2915,35
1320,3001,44
1321,23,21
1322,1494,27
1323,3031,29
1324,18,34
1325,2963,55
1326,236,0
1327,334,58
1328,2665,30
1329,230,26
1330,233,43
1331,245,62
1332,421,18
1333,446,62
1334,326,24
1335,322,46
1336,153,3
1337,4288,2
1338,2937,116
1339,3755,15
1340,2573,124
1341,2630,15
1342,4711,42
1343,4161,2
1344,2492,14
1345,2495,131
1346,2112,161
1347,2503,6
1348,3088,111
1349,2335,3
1350,2477,21
1351,3040,3
1352,2542,11
1353,3595,15
1354,2575,50
1355,2778,17
1356,1864,103
1357,2091,6
1358,1924,27
1359,1778,2
1360,2372,3
1361,2349,9
1362,1970,31
1363,2936,145
1364,2431,15
1365,2264,5
1366,4489,3
1367,2357,23
1368,3058,27
1369,1913,144
1370,3029,140
1371,2452,5
1372,1635,1
1373,2118,8
1374,2311,26
1375,2719,25
1376,1989,4
1377,2195,224
1378,2025,20
1379,4374,24
1380,1885,4
1381,3282,85
1382,2233,1
1383,2201,5
1384,1956,69
1385,1621,6
1386,1581,28
1387,1712,49
1388,2259,4
1389,1601,58
1390,1824,42
1391,1460,1
1392,1498,72
1393,2114,22
1394,2611,141
1395,1733,20
1396,1488,1
1397,1834,1
1398,1698,1
1399,2212,35
1400,2534,15
1401,2399,3
1402,2306,2
1403,2087,8
1404,1389,12
1405,1354,140
1406,1674,72
1407,1647,15
1408,1801,21
1409,1453,3
1410,1528,4
1411,1441,97
1412,1332,2
1413,1233,6
1414,1511,24
1415,1672,15
1416,1806,133
1417,1619,57
1418,3194,35
1419,1280,5
1420,1990,17
1421,1237,14
1422,1510,10
1423,1235,1
1424,1847,2
1425,1132,9
1426,1721,14
1427,1839,71
1428,727,115
1429,1534,22
1430,1169,5
1431,1688,25
1432,985,9
1433,2321,2
1434,1398,8
1435,1502,2
1436,2232,40
1437,3025,63
1438,1262,45
1439,1269,16
1440,1066,15
1441,1052,3
1442,1173,1
1443,1635,2
1444,1012,3
1445,1112,13
1446,1189,1
1447,1519,24
1448,1919,14
1449,2275,11
1450,1482,109
1451,1146,1
1452,1525,7
1453,1682,82
1454,1615,1
1455,905,73
1456,1981,166
1457,2136,255
1458,1061,17
1459,1395,28
1460,1463,36
1461,1907,95
1462,2677,6
1463,1584,5
1464,1497,4
1465,1427,1
1466,1286,21
1467,1582,35
1468,1244,21
1469,1426,1
1470,2511,1
1471,928,10
1472,782,2
1473,1035,2
1474,1402,10
1475,1311,1
1476,1295,10
1477,2329,88
1478,953,16
1479,758,1
1480,1112,36
1481,1101,8
1482,1876,1
1483,1332,27
1484,1459,13
1485,1470,10
1486,1331,8
1487,1331,12
1488,733,93
1489,1127,3
1490,1433,3
1491,1394,2
1492,3109,89
1493,1046,14
1494,775,22
1495,1908,1
1496,1259,3
1497,592,2
1498,693,7
1499,1328,25
1500,1130,1
1501,824,107
1502,1074,12
1503,958,7
1504,1733,150
1505,2137,1
1506,3039,23
1507,2116,20
1508,773,1
1509,454,1
1510,1010,1
1511,530,1
1512,960,1
1513,765,2
1514,3070,145
1515,2541,64
1516,577,1
1517,627,5
1518,270,1
1519,2732,50
1520,1337,1
1521,422,1
1522,3317,67
1523,174,1
1524,1333,21
1525,703,85
1526,819,36
1527,4406,1
1528,2730,2
1529,2093,16
1530,4266,1
1531,2755,40
1532,3704,1
1533,6361,14
1534,2086,50
1535,4903,12
1536,2445,1
1537,3035,59
1538,2539,1
1539,2463,83
1540,2131,19
1541,2025,32
1542,4974,1
1543,1707,2
1544,1591,39
1545,3041,1
1546,3031,8
1547,1866,10
1548,2824,4
1549,1395,22
1550,3071,7
1551,2349,29
1552,1272,1
1553,1541,2
1554,406,1
1555,255,1
1556,264,4
1557,709,1
1558,721,6
1559,1992,32
1560,205,31
1561,2453,23
1562,3063,3
1563,1895,17
1564,3313,4
1565,2234,12
1566,1880,28
1567,3678,206
1568,2375,2
1569,2689,143
1570,2009,6
1571,3770,6
1572,1477,115
1573,1764,11
1574,2432,23
1575,1744,66
1576,2528,157
1577,1992,13
1578,1736,17
1579,3596,153
1580,3941,2
1581,2203,117
1582,1705,90
1583,1390,0
1584,1956,19
1585,1695,89
1586,4351,42
1587,2195,3
1588,1734,31
1589,1288,1
1590,3139,48
1591,870,1
1592,654,1
1593,4437,122
1594,530,31
1595,411,38
1596,2037,1
1597,308,0
1598,3673,111
1599,245,0
1600,3966,158
1601,4517,21
1602,3752,2
1603,4079,107
1604,2765,32
1605,3177,59
1606,2611,1
1607,3285,1
1608,4167,163
1609,4986,3
1610,3503,3
1611,3239,53
1612,4026,2
1613,3696,1
1614,3769,55
1615,2847,23
1616,2132,20
1617,3294,2
1618,1800,5
1619,3257,5
1620,2272,1
1621,4767,63
1622,3185,53
1623,4600,41
1624,4051,86
1625,4049,68
1626,3063,29
1627,3392,82
1628,1772,1
1629,2578,2
1630,1890,4
1631,2505,1
1632,2101,60
1633,1801,1
1634,2342,140
1635,4302,73
1636,1399,66
1637,701,2
1638,5063,5
1639,563,1
1640,1273,31
1641,4926,79
1642,4373,24
1643,528,1
1644,568,29
1645,3090,127
1646,614,113
1647,398,1
1648,649,63
1649,1449,44
1650,256,29
1651,4216,88
1652,406,2
1653,211,51
1654,4760,63
1655,3683,1
1656,2921,2
1657,3766,1
1658,5623,33
1659,5725,56
1660,4487,60
1661,2211,1
1662,3161,20
1663,5642,35
1664,2235,2
1665,1926,13
1666,2251,1
1667,1734,1
1668,1953,73
1669,2832,46
1670,3069,3
1671,2216,4
1672,3347,143
1673,3917,13
1674,2486,69
1675,2306,1
1676,1556,3
1677,1983,2
1678,3916,148
1679,1422,3
1680,2691,45
1681,3309,1
1682,2986,127
1683,1341,1
1684,2728,2
1685,888,1
1686,1443,1
1687,864,2
1688,4593,46
1689,775,1
1690,605,22
1691,3816,69
1692,334,2
1693,211,32
1694,3103,60
1695,538,1
1696,206,1
