,size,intensity
741,3177,38
742,2189,1
743,3096,3
744,2579,12
745,2583,126
746,2011,1
747,2119,255
748,2571,4
749,1962,2
750,2324,55
751,2121,20
752,1839,6
753,2072,1
754,2709,47
755,1778,4
756,2462,84
757,2690,2
758,1985,10
759,2235,144
760,3528,1
761,2102,4
762,2200,2
763,5259,3
764,2472,84
765,1357,1
766,1624,117
767,2019,255
768,1373,32
769,2057,11
770,5338,203
771,1476,1
772,3179,1
773,1172,61
774,4041,61
775,1107,3
776,951,1
777,2777,124
778,2665,3
779,2830,35
780,2366,1
781,3272,17
782,2850,4
783,1993,8
784,3837,2
785,2569,2
786,3572,19
787,2189,35
788,4476,76
789,1820,1
790,2606,5
791,2570,5
792,1757,37
793,3122,2
794,2735,95
795,2745,21
796,2332,36
797,2706,3
798,2030,1
799,2213,63
800,4400,1
801,2381,12
802,2875,121
803,2371,26
804,2560,52
805,2681,4
806,2046,1
807,2006,17
808,2855,77
809,1180,3
810,2382,19
811,2244,16
812,2569,30
813,1637,1
814,2047,1
815,1698,40
816,2715,24
817,2596,15
818,1941,9
819,1956,1
820,2824,17
821,2502,9
822,3571,2
823,1489,1
824,1334,5
825,1643,1
826,3556,76
827,3847,6
828,1756,29
829,1629,33
830,3645,60
831,2102,4
832,2311,121
833,2617,12
834,4971,115
835,2921,57
836,3019,5
837,1583,1
838,1827,1
839,2560,2
840,1970,10
841,2980,7
842,1947,20
843,1507,3
844,1556,45
845,2687,24
846,3130,173
847,1391,4
848,1749,57
849,2121,141
850,1704,1
851,1487,1
852,2473,51
853,2219,4
854,1456,5
855,1805,1
856,2160,28
857,1771,23
858,2433,7
859,3501,67
860,2065,1
861,3877,98
862,1326,91
863,2716,11
864,1831,46
865,2217,27
866,1609,48
867,1465,1
868,2449,39
869,2033,78
870,3722,52
871,2066,43
872,1659,28
873,1877,9
874,2084,13
875,1451,5
876,2357,29
877,1198,27
878,1924,44
879,1914,5
880,1525,13
881,2328,2
882,1603,47
883,2511,15
884,957,3
885,3189,51
886,1714,7
887,1213,14
888,1946,17
889,2083,61
890,3173,9
891,1155,101
892,1529,6
893,2141,24
894,1334,5
895,4460,6
896,1668,1
897,1014,71
898,1721,46
899,1866,36
900,1090,141
901,1519,22
902,1915,51
903,1408,33
904,1420,26
905,1630,27
906,1324,15
907,1580,1
908,1459,1
909,1824,149
910,1688,61
911,2497,105
912,1783,23
913,1132,1
914,1362,47
915,2597,9
916,4257,39
917,1234,4
918,1773,4
919,1435,29
920,1687,33
921,1732,1
922,723,1
923,1452,15
924,2158,106
925,1564,8
926,4507,47
927,647,1
928,1132,18
929,1247,27
930,3800,6
931,857,81
932,359,63
933,450,3
934,650,1
935,1087,2
936,4370,4
937,4049,106
938,1545,1
939,2268,118
940,1611,79
941,3951,6
942,3803,72
943,240,126
944,268,64
945,142,1
946,174,110
947,198,74
948,2657,5
949,3203,6
950,3348,2
951,4132,22
952,1973,1
953,2868,33
954,2262,39
955,2571,67
956,3211,8
957,3915,2
958,2206,2
959,2284,15
960,4498,4
961,1910,6
962,3884,31
963,6552,2
964,3883,17
965,2721,4
966,5946,2
967,3532,5
968,4207,187
969,1900,23
970,3012,4
971,1537,5
972,647,1
973,3152,51
974,2853,7
975,2888,71
976,1679,49
977,2064,112
978,1540,9
979,3460,56
980,2190,66
981,1246,3
982,2051,92
983,1622,127
984,1252,111
985,1124,3
986,6153,3
987,1845,4
988,1081,4
989,2259,255
990,1235,1
991,3690,1
992,876,10
993,3228,35
994,1058,1
995,1007,39
996,393,1
997,938,84
998,541,1
999,265,1
1000,1566,12
1001,1831,1
1002,269,27
1003,637,59
1004,3523,1
1005,2968,208
1006,4307,164
1007,3433,6
1008,2212,63
1009,4447,2
1010,4037,53
1011,3352,1
1012,3795,1
1013,1975,2
1014,5470,1
1015,1905,4
1016,7773,79
1017,3913,1
1018,4755,96
1019,3175,69
1020,3272,3
1021,4020,1
1022,4136,159
1023,6240,129
1024,6554,191
1025,1530,87
1026,2493,1
1027,2751,6
1028,1447,6
1029,4266,128
1030,6436,6
1031,1430,1
1032,3626,1
1033,4375,204
1034,1760,6
1035,1627,18
1036,3607,1
1037,976,40
1038,3608,98
1039,1383,78
1040,1510,1
1041,3152,21
1042,3090,50
1043,1247,2
1044,2782,69
1045,2111,21
1046,2401,6
1047,5321,1
1048,4971,91
1049,2051,103
1050,3308,109
1051,3091,1
1052,9101,155
1053,837,4
1054,1761,160
1055,3840,175
1056,1211,4
1057,903,157
1058,1874,64
1059,2920,1
1060,3767,53
1061,951,47
1062,2858,156
1063,3531,47
1064,2100,7
1065,1977,65
1066,2935,62
1067,3702,31
1068,1560,1
1069,851,85
1070,5348,102
1071,2105,82
1072,1405,40
1073,6602,154
1074,3434,111
1075,3558,92
1076,4678,57
1077,695,53
1078,2945,101
1079,582,1
1080,4719,32
1081,1956,119
1082,1082,51
1083,436,40
1084,1860,70
1085,4211,144
1086,1957,52
1087,758,1
1088,815,45
1089,1105,171
1090,2865,148
1091,415,1
1092,294,41
1093,375,55
1094,2697,73
1095,320,47
1096,162,255
1097,314,54
1098,3136,96
1099,4023,118
1100,2234,135
1101,3445,42
1102,2937,1
1103,2735,38
1104,4434,1
1105,1967,1
1106,1916,34
1107,2358,8
1108,4858,172
1109,2852,18
1110,7230,56
1111,2716,116
1112,2414,17
1113,2214,1
1114,5183,103
1115,3017,152
1116,5225,163
1117,3131,7
1118,3719,74
1119,5564,129
1120,3990,53
1121,5816,88
1122,2758,171
1123,1519,2
1124,2030,3
1125,2359,52
1126,3207,11
1127,5814,143
1128,2888,1
1129,2832,83
1130,2206,2
1131,1278,8
1132,2973,1
1133,1657,38
1134,2632,158
1135,1387,61
1136,3401,94
1137,1148,1
1138,1810,1
1139,3943,179
1140,994,33
1141,950,1
1142,1231,1
1143,3349,184
1144,3207,84
1145,3609,159
1146,296,84
1147,186,255
1148,3528,192
1149,237,63
1150,3185,1
1151,3220,255
1152,3421,20
1153,2447,4
1154,3378,2
1155,2096,1
1156,1665,18
1157,2494,5
1158,5567,42
1159,3966,1
1160,6754,255
1161,4845,2
1162,1857,1
1163,1050,49
1164,2496,11
1165,3106,1
1166,2383,3
1167,2661,2
1168,1306,65
1169,3936,68
1170,2393,255
1171,558,83
1172,2897,7
1173,1667,85
1174,243,0
1175,2649,2
1176,3286,16
1177,3364,4
1178,5347,255
1179,2024,67
1180,3197,38
1181,1919,0
1182,3467,47
1183,1767,1
1184,2266,1
1185,2446,255
1186,1423,4
1187,5116,255
1188,1205,255
1189,2022,3
1190,2256,124
1191,4821,40
1192,1163,29
1193,1307,1
1194,5437,39
1195,1583,31
1196,937,1
1197,6384,255
1198,2006,77
1199,1929,255
1200,2070,255
1201,541,145
1202,760,5
1203,2807,255
1204,778,255
