,size,intensity
704,1225,1
705,2218,56
706,3510,74
707,2873,60
708,2068,1
709,413,6
710,1043,31
711,210,255
712,3304,1
713,4282,10
714,4016,11
715,4060,63
716,2382,169
717,4847,76
718,1960,16
719,3504,1
720,2417,47
721,4754,26
722,1548,1
723,2321,24
724,2473,1
725,4589,4
726,2488,1
727,1812,10
728,2404,21
729,2767,145
730,2192,1
731,1804,1
732,1818,4
733,1647,1
734,1901,6
735,2472,65
736,1569,1
737,1883,18
738,4016,80
739,3192,135
740,1918,1
741,2732,1
742,2052,39
743,1990,6
744,1723,8
745,1878,1
746,2969,79
747,2547,1
748,1953,24
749,1900,13
750,1519,10
751,1569,8
752,1459,4
753,2135,2
754,1539,2
755,3122,7
756,1407,5
757,2258,20
758,1800,21
759,1779,41
760,1334,10
761,2026,57
762,2161,5
763,2105,72
764,1721,3
765,1413,23
766,1702,1
767,1500,1
768,1944,15
769,2266,2
770,2363,15
771,2493,86
772,1992,20
773,1185,1
774,1151,1
775,3409,1
776,1313,3
777,1467,12
778,1803,36
779,1536,1
780,1601,1
781,1476,1
782,1535,3
783,1654,7
784,1318,1
785,1317,91
786,2369,23
787,3130,119
788,1059,1
789,1838,1
790,3504,52
791,1381,10
792,2203,1
793,1034,1
794,1070,1
795,1448,21
796,2491,255
797,1130,1
798,562,1
799,2203,3
800,1348,1
801,1796,1
802,1633,1
803,2220,1
804,2976,94
805,536,1
806,3967,3
807,2530,1
808,3327,81
809,4515,7
810,2871,26
811,2194,3
812,3303,6
813,1920,1
814,2697,9
815,3424,41
816,4141,1
817,2803,86
818,1991,1
819,2655,1
820,4624,1
821,1876,5
822,3364,146
823,1678,86
824,901,68
825,1639,1
826,617,0
827,3262,148
828,3116,3
829,3796,7
830,2955,2
831,3640,6
832,4164,3
833,2989,6
834,4382,20
835,3904,6
836,2726,11
837,2665,3
838,1884,2
839,2357,21
840,3312,147
841,2225,4
842,1759,3
843,3260,1
844,1601,4
845,1670,1
846,1995,5
847,191,255
848,4445,13
849,1904,5
850,4085,79
851,4153,43
852,5465,36
853,4869,10
854,2624,1
855,3960,1
856,1830,3
857,3500,1
858,2899,44
859,2848,7
860,2858,1
861,2564,1
862,2952,4
863,1649,0
864,3744,31
865,2451,26
866,1653,0
867,1734,1
868,1854,2
869,1703,0
870,2659,17
871,3932,88
872,1650,1
873,3384,39
874,1834,1
875,4185,1
876,1965,7
877,2328,5
878,2359,1
879,1196,1
880,1340,5
881,2633,2
882,3090,74
883,2837,1
884,1804,95
885,3415,12
886,1820,80
887,1235,1
888,2113,91
889,3475,22
890,1798,7
891,1213,1
892,2043,43
893,944,20
894,4069,26
895,1085,148
896,6457,8
897,845,1
898,697,0
899,1831,37
900,4965,2
901,537,3
902,3630,53
903,3145,7
904,3607,1
905,2922,4
906,2529,1
907,1888,1
908,4511,23
909,3932,11
910,3716,54
911,1995,1
912,2417,20
913,2582,13
914,2876,0
915,2073,0
916,1966,6
917,4166,15
918,2008,1
919,5409,2
920,2915,10
921,2064,7
922,3325,2
923,2340,1
924,1590,1
925,1934,0
926,3955,7
927,2183,15
928,1793,4
929,2362,11
930,1807,1
931,2561,31
932,1368,0
933,2442,148
934,3206,5
935,4153,0
936,2077,26
937,3576,19
938,943,1
939,3927,53
940,793,1
941,380,1
942,747,4
943,434,1
944,556,1
945,444,43
946,545,1
947,1828,20
948,2190,87
949,230,0
950,4722,1
951,3230,1
952,3037,9
953,2575,1
954,2181,5
955,2069,62
956,2948,19
957,2293,77
